iter	Passed	Remaining
905	3161	328
906	3164	324
907	3167	320
908	3171	317
909	3174	313
910	3178	310
911	3182	307
912	3187	303
913	3191	300
914	3196	296
915	3198	293
916	3201	289
917	3206	286
918	3209	282
919	3211	279
920	3218	276
921	3224	272
922	3230	269
923	3231	265
924	3234	262
925	3237	258
926	3240	255
927	3242	251
928	3246	248
929	3249	244
930	3251	240
931	3254	237
932	3256	233
933	3260	230
934	3264	226
935	3266	223
936	3269	219
937	3271	216
938	3276	212
939	3279	209
940	3282	205
941	3285	202
942	3288	198
943	3298	195
944	3301	192
945	3304	188
946	3310	185
947	3312	181
948	3315	178
949	3318	174
950	3323	171
951	3326	167
952	3329	164
953	3333	160
954	3338	157
955	3341	153
956	3343	150
957	3345	146
958	3348	143
959	3350	139
960	3362	136
961	3373	133
962	3379	129
963	3387	126
964	3389	122
965	3392	119
966	3395	115
967	3403	112
968	3407	108
969	3409	105
970	3417	102
971	3423	98
972	3426	95
973	3429	91
974	3433	88
975	3436	84
976	3438	80
977	3441	77
978	3443	73
979	3444	70
980	3450	66
981	3453	63
982	3458	59
983	3464	56
984	3468	52
985	3471	49
986	3481	45
987	3485	42
988	3489	38
989	3494	35
990	3497	31
991	3502	28
992	3505	24
993	3512	21
994	3515	17
995	3518	14
996	3521	10
997	3525	7
998	3528	3
999	3530	0
